name,carbs_per_100g
"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0 fat, select, cooked, broiled",0
"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0 fat, all grades, cooked, broiled",0
"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0 fat, all grades, cooked, roasted",0
"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0 fat, select, raw",0
"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, grilled",0
"Beef, chuck, mock tender steak, separable lean only, trimmed to 0 fat, choice, cooked, broiled",0
"Beef, chuck, mock tender steak, separable lean only, trimmed to 0 fat, select, cooked, broiled",0
"Beef, flank, steak, separable lean and fat, trimmed to 0 fat, all grades, raw",0
"Beef, flank, steak, separable lean and fat, trimmed to 0 fat, select, raw",0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0 fat, all grades, raw",0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0 fat, choice, raw",0
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0 fat, choice, cooked, braised",0
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0 fat, select, cooked, braised",0
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0 fat, select, raw",0
"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0 fat, all grades, cooked, roasted",0
"Alcoholic beverage, beer, light, BUD LIGHT",1.3
"Alcoholic beverage, daiquiri, canned",15.7
"Alcoholic beverage, daiquiri, prepared-from-recipe",6.94
"Alcoholic beverage, beer, light, low carb",0.73
"Candies, milk chocolate coated raisins",68.4
"Syrups, table blends, pancake, reduced-calorie",44.55
"Syrups, table blends, pancake",61.47
"Candies, HERSHEY'S POT OF GOLD Almond Bar",44.89
"Candies, truffles, prepared-from-recipe",44.88
"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits",65.96
"Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies",60.48
"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies",71.19
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits",68.4
"Candies, peanut bar",47.4
"Candies, peanut brittle, prepared-from-recipe",71.24
"Candies, NESTLE, RAISINETS Chocolate Covered Raisins",71
"Candies, sesame crunch",50.3
"Candies, MARS SNACKFOOD US, SNICKERS Bar",61.51
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",82.57
"Candies, MARS SNACKFOOD US, M&M's MINIs Milk Chocolate Candies",68.4
"Candies, SPECIAL DARK Chocolate Bar",60.49
"Cocoa, dry powder, unsweetened",57.9
"Cocoa, dry powder, unsweetened, processed with alkali",58.3
"Desserts, egg custard, baked, prepared-from-recipe",11
"Gelatin desserts, dry mix, prepared with water",14.19
"Gelatin desserts, dry mix, reduced calorie, with aspartame",80.21
"Gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water",4.22
"Gelatins, dry powder, unsweetened",0
"Puddings, chocolate, dry mix, instant, prepared with whole milk",18.8
"Desserts, apple crisp, prepared-from-recipe",30.84
"Flan, caramel custard, dry mix",91.6
"Puddings, chocolate, dry mix, regular",89.3
"Puddings, chocolate, dry mix, regular, prepared with whole milk",19.64
"Puddings, rice, dry mix, prepared with whole milk",20.68
"Puddings, tapioca, dry mix",94.3
"Puddings, tapioca, dry mix, prepared with whole milk",19.43
"Puddings, vanilla, ready-to-eat",22.6
"Puddings, vanilla, dry mix, regular",93.5
"Puddings, vanilla, dry mix, regular, prepared with whole milk",18.92
"Puddings, rice, dry mix, prepared with 2% milk",20.81
"Puddings, tapioca, dry mix, prepared with 2% milk",19.56
"Frozen novelties, ice type, fruit, no sugar added",6.2
"Puddings, tapioca, ready-to-eat",21.69
"Puddings, coconut cream, dry mix, regular, prepared with 2% milk",17.8
"Desserts, rennin, chocolate, dry mix",91.5
"Rennin, chocolate, dry mix, prepared with whole milk",13.34
"Frostings, coconut-nut, ready-to-eat",52.7
"Frostings, cream cheese-flavor, ready-to-eat",67.32
"Frostings, vanilla, creamy, ready-to-eat",67.89
"Flan, caramel custard, dry mix, prepared with 2% milk",18.82
"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES",51.72
"Candies, REESE'S BITES",55.18
"Candies, REESE'S NUTRAGEOUS Candy Bar",52.8
"Frostings, chocolate, creamy, dry mix",92
"Frostings, white, fluffy, dry mix, prepared with water",62.6
"Candies, HERSHEY'S, ALMOND JOY BITES",57.54
"Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate",55.38
"Candies, HERSHEY, KIT KAT BIG KAT Bar",63.64
"Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats",61.6
"Ice creams, vanilla, light, no sugar added",21.42
"Frozen novelties, fruit and juice bars",20.2
"Ice creams, chocolate, light, no sugar added",26.79
"Candies, dark chocolate coated coffee beans",59.95
"Snacks, SUNKIST, SUNKIST Fruit Roll, strawberry, with vitamins A, C, and E",82.7
"Snacks, fruit leather, pieces, with vitamin C",85.2
"Candies, milk chocolate coated coffee beans",55.25
"Frozen novelties, ice type, lime",32.6
"Candies, MARS SNACKFOOD US, SNICKERS MUNCH bar",43.64
"Honey",82.4
"Jams and preserves",68.86
"Jellies",69.95
"Candies, MARS SNACKFOOD US, POP'ABLES SNICKERS Brand Bite Size Candies",61.07
"Candies, MARS SNACKFOOD US, POP'ABLES MILKY WAY Brand Bite Size Candies",71.85
"Candies, MARS SNACKFOOD US, POP'ABLES 3 MUSKETEERS Brand Bite Size Candies",75.94
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Fruit and Creme",82.43
"Candies, MARS SNACKFOOD US, STARBURST Sour Fruit Chews",79.73
"Puddings, banana, dry mix, instant",92.7
"Puddings, banana, dry mix, instant, prepared with whole milk",19.76
"Puddings, banana, dry mix, regular",93
"Candies, MARS SNACKFOOD US, COCOAVIA Chocolate Bar",62.99
"Candies, MARS SNACKFOOD US, COCOAVIA Blueberry and Almond Chocolate Bar",60.37
"Candies, MARS SNACKFOOD US, COCOAVIA Crispy Chocolate Bar",62.06
"Puddings, lemon, dry mix, instant",95.4
"Sugars, granulated",99.98
"Sugars, powdered",99.77
"Sweeteners, tabletop, aspartame, EQUAL, packets",89.08
"Sugars, maple",90.9
"Syrups, corn, high-fructose",76
"Syrups, malt",71.3
"Syrups, maple",67.04
"Syrups, sorghum",74.9
"Candies, MARS SNACKFOOD US, SNICKERS CRUNCHER",62.85
"Toppings, marshmallow cream",79
"Toppings, pineapple",66.4
"Toppings, nuts in syrup",58.08
"Candies, MARS SNACKFOOD US, SKITTLES Tropical Bite Size Candies",90.77
"Frostings, glaze, prepared-from-recipe",83.65
"Candies, fudge, chocolate marshmallow, prepared-from-recipe",71.34
"Candies, taffy, prepared-from-recipe",91.56
"Candies, toffee, prepared-from-recipe",64.72
"Snacks, cornnuts, barbecue-flavor",71.7
"Snacks, crisped rice bar, almond",64.6
"Snacks, granola bars, soft, uncoated, chocolate chip",70.2
"Snacks, granola bars, soft, uncoated, chocolate chip, graham and marshmallow",70.8
"Snacks, granola bars, soft, uncoated, nut and raisin",63.6
"Snacks, potato chips, plain, salted",53.83
"Snacks, potato chips, made from dried potatoes, cheese-flavor",50.6
"Snacks, rice cakes, brown rice, corn",81.2
"Snacks, rice cakes, brown rice, multigrain",80.1
"Snacks, granola bars, hard, peanut butter",62.3
"Snacks, potato chips, cheese-flavor",57.7
"Snacks, potato chips, reduced fat",66.9
"Snacks, potato chips, fat-free, made with olestra",65
"Popcorn, sugar syrup/caramel, fat-free",90.06
"Snacks, potato chips, fat free, salted",83.76
"Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares",80.5
"Snacks, KELLOGG, KELLOGG'S Low Fat Granola Bar, Crunchy Almond/Brown Sugar",78
"Snacks, M&M MARS, KUDOS Whole Grain Bar, chocolate chip",72.31
"Candies, semisweet chocolate, made with butter",63.4
"Gelatin desserts, dry mix, with added ascorbic acid, sodium-citrate and salt",90.5
"Gelatin desserts, dry mix, reduced calorie, with aspartame, added phosphorus, potassium, sodium, vitamin C",33.3
"Gelatin desserts, dry mix, reduced calorie, with aspartame, no added sodium",33.3
"Corn flour, masa, enriched, white",76.59
"Corn flour, yellow, degermed, unenriched",82.75
"Corn flour, masa, unenriched, white",76.59
"Cornmeal, whole-grain, yellow",76.89
"Cornstarch",91.27
"Couscous, dry",77.43
"Couscous, cooked",23.22
"Hominy, canned, white",14.26
"Millet, raw",72.85
"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",76.25
"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",25.58
"Oats (Includes foods for USDA's Food Distribution Program)",66.27
"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",76.17
"Rice, white, long-grain, parboiled, enriched, dry",80.89
"Rice, white, long-grain, parboiled, enriched, cooked",26.05
"Rice, white, long-grain, precooked or instant, enriched, dry",82.32
"Rice, white, long-grain, precooked or instant, enriched, prepared",26.76
"Rice, white, glutinous, unenriched, cooked",21.09
"Rice, white, steamed, Chinese restaurant",33.88
"Rice bran, crude",49.69
"Rice flour, white, unenriched",80.13
"Semolina, enriched",72.83
"Sorghum grain",72.09
"Tapioca, pearl, dry",88.69
"Triticale",72.13
"Wheat, hard white",75.9
"Wheat, soft white",75.36
"Wheat, durum",71.13
"Wheat bran, crude",64.51
"Wheat flour, white, cake, enriched",78.03
"Wheat flour, white, tortilla mix, enriched",67.14
"Wheat, sprouted",42.53
"Wild rice, raw",74.9
"Pasta, fresh-refrigerated, plain, as purchased",54.73
"Pasta, fresh-refrigerated, plain, cooked",24.93
"Pasta, fresh-refrigerated, spinach, as purchased",55.72
"Pasta, fresh-refrigerated, spinach, cooked",25.04
"Noodles, egg, dry, enriched",71.27
"Noodles, egg, enriched, cooked",25.16
"Noodles, egg, spinach, enriched, dry",70.32
"Noodles, egg, spinach, enriched, cooked",24.25
"Noodles, flat, crunchy, Chinese restaurant",51.9
"Pasta, dry, enriched",74.67
"Pasta, cooked, enriched, without added salt",30.86
"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",73.37
"Barley flour or meal",74.52
"Barley malt flour",78.3
"Oat flour, partially debranned",65.7
"Rice noodles, dry",80.18
"Wheat, KAMUT khorasan, uncooked",70.58
"Wheat, KAMUT khorasan, cooked",27.6
"Spelt, uncooked",70.19
"Spelt, cooked",26.44
"Teff, uncooked",73.13
"Corn flour, whole-grain, white",76.85
"Corn flour, yellow, masa, enriched",76.59
"Cornmeal, whole-grain, white",76.89
"Pasta, cooked, enriched, with added salt",30.59
"Hominy, canned, yellow",14.26
"Rice, white, long-grain, regular, cooked, enriched, with salt",28.17
"Wheat flour, white, all-purpose, enriched, calcium-fortified",76.31
"Noodles, egg, dry, unenriched",71.27
"Rice, white, long-grain, regular, raw, unenriched",79.95
"Rice, white, long-grain, regular, unenriched, cooked without salt",28.17
"Rice, white, long-grain, parboiled, unenriched, dry",80.89
"Rice, white, long-grain, parboiled, unenriched, cooked",26.05
"Rice, white, medium-grain, raw, unenriched",79.34
"Wheat flour, white, all-purpose, unenriched",76.31
"Noodles, egg, cooked, unenriched, with added salt",25.16
"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared",23.44
"Potatoes, yellow fleshed, french fried, frozen, unprepared",25.01
"Ginger root, pickled, canned, with artificial sweetener",4.83
"Peppers, hot pickled, canned",4.56
"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS",8.13
"Potatoes, mashed, ready-to-eat",13.29
"Macaroni and cheese, box mix with cheese sauce, unprepared",46.66
"Macaroni and cheese, box mix with cheese sauce, prepared",23.1
"Taquitos, frozen, chicken and cheese, oven-heated",33.63
"Taquitos, frozen, beef and cheese, oven-heated",33.46
"Potsticker or wonton, pork and vegetable, frozen, unprepared",13.28
"Macaroni or noodles with cheese, made from reduced fat packaged mix, unprepared",52.06
"Turnover, cheese-filled, tomato-based sauce, frozen, unprepared",27.29
"Macaroni or noodles with cheese, microwaveable, unprepared",70.75
"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",22.74
"Rice mix, cheese flavor, dry mix, unprepared",73.88
"Dumpling, potato- or cheese-filled, frozen",29.64
"Turnover, chicken- or turkey-, and vegetable-filled, reduced fat, frozen",21.74
"Sausage, egg and cheese breakfast biscuit",21.57
"HUNGRY MAN, Salisbury Steak With Gravy, frozen, unprepared",6.96
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",6.96
"JIMMY DEAN, Sausage, Egg, and Cheese Breakfast Biscuit, frozen, unprepared",21.07
"Infant formula, GERBER, GOOD START, PROTECT PLUS, powder",57
"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, powder",57.1
"Infant formula, GERBER, GOOD START 2, PROTECT PLUS, powder",56.3
"Infant formula, MEAD JOHNSON, ENFAMIL, ENFAGROW, Soy, Toddler transitions, with ARA and DHA,  powder",56
"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 24 calories ready-to-feed Low iron",7.19
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, ready-to-feed",7.39
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, powder",57
"Babyfood, GERBER, Banana with orange medley",20.41
"Bear, black, meat (Alaska Native)",0
"Bear, polar, meat, raw (Alaska Native)",0
"Whale, beluga, meat, dried (Alaska Native)",0
"Whale, beluga, eyes (Alaska Native)",0
"Whale, beluga, meat, raw (Alaska Native)",0
"Fish, blackfish, whole (Alaska Native)",0
"Blueberries, wild, frozen (Alaska Native)",10.4
"Caribou, bone marrow, raw (Alaska Native)",0
"Caribou, eye, raw (Alaska Native)",0
"Cloudberries, raw (Alaska Native)",8.6
"Cockles, raw (Alaska Native)",4.7
"Cranberries, wild, bush, raw (Alaska Native)",12.3
"Cranberry, low bush or lingenberry, raw (Alaska Native)",12.2
"Fish, herring eggs, Pacific, plain (Alaska Native)",4.47
"Fish, herring, Pacific, flesh, air-dried, packed in oil (Alaska Native)",0
"Huckleberries, raw (Alaska Native)",8.7
"Fish, lingcod, meat, raw (Alaska Native)",0
"Fish, lingcod, liver (Alaska Native)",6
"Tennis Bread, plain (Apache)",53.26
"Fish, halibut, cooked, with skin (Alaska Native)",0
"Salmon, red (sockeye), filets with skin, smoked (Alaska Native)",0
"Agave, raw (Southwest)",16.23
"Lambsquarters, steamed (Northern Plains Indians)",7.47
"Prickly pears, raw (Northern Plains Indians)",10.17
"Prickly pears, broiled (Northern Plains Indians)",21.57
"Prairie Turnips, raw (Northern Plains Indians)",35.67
"Stinging Nettles, blanched (Northern Plains Indians)",7.49
"Plums, wild (Northern Plains Indians)",21.95
"Pinon Nuts, roasted (Navajo)",51.06
"Caribou, hind quarter, meat, cooked (Alaska Native)",0
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",10.5
"Sea lion, Steller, meat with fat (Alaska Native)",5.55
"Sea lion, Steller, fat (Alaska Native)",0
"Wocas, dried seeds, Oregon, yellow pond lily (Klamath)",80.02
"Hazelnuts, beaked (Northern Plains Indians)",22.98
"Tea, herbal, brewed, Hohoysi (Hopi)",0
"Tortilla, blue corn, Sakwavikaviki (Hopi)",58.12
"Bread, blue corn, somiviki (Hopi)",39.84
"APPLEBEE'S, 9 oz house sirloin steak",0
"T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded",20.87
"T.G.I. FRIDAY'S, french fries",36.9
"T.G.I. FRIDAY'S, fried mozzarella",25.33
"T.G.I. FRIDAY'S, macaroni & cheese, from kid's menu",17.4
"Restaurant, family style, french fries",37.2
"Restaurant, family style, chicken fingers, from kid's menu",18.77
"Restaurant, family style, shrimp, breaded and fried",22.29
"Restaurant, family style, macaroni & cheese, from kids' menu",18.8
"APPLEBEE'S, crunchy onion rings",40.17
"APPLEBEE'S, chicken tenders platter",17.98
"CRACKER BARREL, chicken tenderloin platter, fried",20.29
"CRACKER BARREL, coleslaw",13.01
"DENNY'S, onion rings",41.05
"DENNY'S, spaghetti and meatballs",15.51
"Restaurant, family style, fish fillet, battered or breaded, fried",16.89
"Restaurant, family style, chicken tenders",19.29
"Restaurant, family style, hash browns",26.59
"CRACKER BARREL, macaroni n' cheese",15.61
"Restaurant, Italian, lasagna with meat",11.36
"OLIVE GARDEN, lasagna classico",10.33
"OLIVE GARDEN, spaghetti with pomodoro sauce",17.14
"CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce",18.63
"ON THE BORDER, cheese enchilada",16.2
"Restaurant, Mexican, cheese enchilada",15.45
"Restaurant, Mexican, cheese tamales",17.97
"CARRABBA'S ITALIAN GRILL, chicken parmesan without cavatappi pasta",7.8
"OLIVE GARDEN, chicken parmigiana without pasta",12.28
"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",79.6
"Margarine-like, vegetable oil spread, stick or tub, sweetened",16.7
"Snacks, popcorn, home-prepared, oil-popped, unsalted",58.1
"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",73
"Snacks, granola bar, with coconut, chocolate coated",55.2
"Babyfood, vegetable and brown rice, strained",12.1
"Babyfood, peas and brown rice",11.49
"Frankfurter, meat and poultry, low fat",8.4
"Oil, corn and canola",0
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",4.85
"Peanut butter, reduced sodium",21.83
"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",70.9
"Babyfood, carrots, toddler",5.23
"Babyfood, dessert, banana pudding, strained",14.14
"Babyfood, fruit, tutti frutti, strained",15.48
"Babyfood, fruit, tutti frutti, junior",16
"Salad dressing, sweet and sour",3.7
"Salad dressing, blue or roquefort cheese, low calorie",2.9
"Salad dressing, caesar, low calorie",18.6
"Syrups, sugar free",11.99
"Jellies, no sugar (with sodium saccharin), any flavors",29.6
"Candies, hard, dietetic or low calorie (sorbitol)",98.6
"Candies, chocolate covered, low sugar or low calorie",37.68
"Chewing gum, sugarless",94.8
"Fluid replacement, electrolyte solution (include PEDIALYTE)",2.45
"Vermicelli, made from soy",82.32
"Beans, liquid from stewed kidney beans",2.8
"Chicken, meatless",3.64
"Frankfurter, meatless",7.7
"Vegetarian meatloaf or patties",8
"Radishes, hawaiian style, pickled",5.2
"Cabbage, japanese style, fresh, pickled",5.67
"Cabbage, mustard, salted",5.63
"Eggplant, pickled",9.77
"Bacon bits, meatless",28.6
"Butter replacement, without fat, powder",89
"Salad dressing, buttermilk, lite",21.33
"Sweeteners, tabletop, fructose, dry, powder",100
"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",41
"Yogurt, fruit variety, nonfat",19
"Whipped cream substitute, dietetic, made from powdered mix",10.6
"Frozen novelties, ice cream type, sundae, prepackaged",29.64
"Cheese, american cheddar, imitation",11.6
"Quail, cooked, total edible",0
"Pheasant, cooked, total edible",0
"Eggs, scrambled, frozen mixture",7.5
"Dove, cooked (includes squab)",0
"Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted",0.5
"Longans, dried",74
"Loquats, raw",12.14
"Mammy-apple, (mamey), raw",12.5
"Mangos, raw",14.98
"Melons, honeydew, raw",9.09
"Melon balls, frozen",7.94
"Mulberries, raw",9.8
"Nectarines, raw",10.55
"Oheloberries, raw",6.84
"Oranges, raw, California, valencias",11.89
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",12.54
"Oranges, raw, Florida",11.54
"Oranges, raw, with peel",15.5
"Orange juice, chilled, includes from concentrate, with added calcium",11.27
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium",8.47
"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",33.86
"Orange juice, frozen concentrate, unsweetened, undiluted",35.19
"Tangerines, (mandarin oranges), canned, light syrup pack",16.19
"Tangerine juice, raw",10.1
"Papayas, raw",10.82
"Papaya, canned, heavy syrup, drained",55.83
"Peaches, yellow, raw",9.54
"Peaches, canned, water pack, solids and liquids",6.11
"Peaches, canned, juice pack, solids and liquids",11.57
"Peaches, canned, extra light syrup, solids and liquids (Includes foods for USDA's Food Distribution Program)",11.1
"Peaches, dehydrated (low-moisture), sulfured, uncooked",83.18
"Peaches, dehydrated (low-moisture), sulfured, stewed",34.14
"Peaches, dried, sulfured, uncooked",61.33
"Peaches, dried, sulfured, stewed, without added sugar",19.69
"Pears, canned, juice pack, solids and liquids",12.94
"Pears, canned, extra light syrup pack, solids and liquids (Includes foods for USDA's Food Distribution Program)",12.2
"Pears, canned, light syrup pack, solids and liquids",15.17
"Pears, canned, heavy syrup pack, solids and liquids",19.17
"Pear nectar, canned, without added ascorbic acid",15.76
"Persimmons, japanese, raw",18.59
"Persimmons, japanese, dried",73.43
"Persimmons, native, raw",33.5
"Pineapple, canned, heavy syrup pack, solids and liquids",20.2
"Pineapple, canned, extra heavy syrup pack, solids and liquids",21.5
"Pineapple, frozen, chunks, sweetened",22.2
"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",12.87
"Pineapple juice, frozen concentrate, unsweetened, undiluted",44.3
"Plums, raw",11.42
"Plums, canned, purple, water pack, solids and liquids",11.03
"Plums, canned, purple, juice pack, solids and liquids",15.15
"Plums, canned, purple, light syrup pack, solids and liquids",16.28
"Lima beans, immature seeds, frozen, fordhook, unprepared",19.83
"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",19.32
"Lima beans, immature seeds, frozen, baby, unprepared",25.14
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",19.45
"Mung beans, mature seeds, sprouted, raw",5.94
"Beans, pinto, immature seeds, frozen, unprepared",32.5
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",30.87
"Beans, shellie, canned, solids and liquids",6.19
"Beans, snap, green, raw",6.97
"Beans, snap, green, frozen, all styles, unprepared (Includes foods for USDA's Food Distribution Program)",7.54
"Beans, snap, green, frozen, cooked, boiled, drained without salt",6.45
"Beans, snap, green, frozen, all styles, microwaved",6.98
"Beans, snap, green, microwaved",6.41
"Beets, canned, drained solids",7.21
"Broccoli, cooked, boiled, drained, without salt",7.18
"Broccoli, frozen, chopped, unprepared",4.78
"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",5.35
"Broccoli, frozen, spears, unprepared (Includes foods for USDA's Food Distribution Program)",5.35
"Brussels sprouts, cooked, boiled, drained, without salt",7.1
"Brussels sprouts, frozen, unprepared",7.86
"Brussels sprouts, frozen, cooked, boiled, drained, without salt",8.32
"Burdock root, raw",17.34
"Cabbage, raw",5.8
"Cabbage, cooked, boiled, drained, without salt",5.51
"Cabbage, red, raw",7.37
"Cabbage, red, cooked, boiled, drained, without salt",6.94
"Cabbage, chinese (pe-tsai), raw",3.23
"Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt",2.41
"Cardoon, raw",4.07
"Cardoon, cooked, boiled, drained, without salt",5.33
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",7.9
"Carrots, frozen, cooked, boiled, drained, without salt",7.73
"Cassava, raw",38.06
"Cauliflower, raw",4.97
"Celeriac, cooked, boiled, drained, without salt",5.9
"Celery, raw",2.97
"Celery, cooked, boiled, drained, without salt",4
"Celtuce, raw",3.65
"Chard, swiss, raw",3.74
"Chicory greens, raw",4.7
"Chicory roots, raw",17.51
"Chives, raw",4.35
"Chrysanthemum, garland, raw",3.02
"Collards, frozen, chopped, cooked, boiled, drained, without salt",7.1
"Coriander (cilantro) leaves, raw",3.67
"Corn, sweet, yellow, raw",18.7
"Corn, sweet, yellow, cooked, boiled, drained, without salt",20.98
"Onions, raw",9.34
"Onions, cooked, boiled, drained, without salt",10.15
"Onions, dehydrated flakes",83.28
"Onions, canned, solids and liquids",4.02
"Onions, yellow, sauteed",7.86
"Onions, spring or scallions (includes tops and bulb), raw",7.34
"Onions, young green, tops only",5.74
"Onions, welsh, raw",6.5
"Onions, sweet, raw",7.55
"Parsnips, cooked, boiled, drained, without salt",17.01
"Peas, edible-podded, raw",7.55
"Peas, edible-podded, boiled, drained, without salt",7.05
"Peas, edible-podded, frozen, unprepared",7.2
"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",11.36
"Peas, green, canned, seasoned, solids and liquids",9.25
"Peas, green, canned, drained solids, rinsed in tap water",11.82
"Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",13.62
"Peas, green, frozen, cooked, boiled, drained, without salt",14.26
"Peas and carrots, frozen, cooked, boiled, drained, without salt",10.12
"Peas and onions, canned, solids and liquids",8.57
"Peas and onions, frozen, unprepared",13.51
"Peas and onions, frozen, cooked, boiled, drained, without salt",8.63
"Peppers, sweet, green, frozen, chopped, unprepared",4.45
"Peppers, sweet, green, frozen, chopped, boiled, drained, without salt",3.9
"Peppers, sweet, green, sauteed",4.22
"Pigeonpeas, immature seeds, raw",23.88
"Potatoes, flesh and skin, raw",17.49
"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)",18.07
"Potatoes, white, flesh and skin, raw",15.71
"Potatoes, red, flesh and skin, raw",15.9
"Potatoes, Russet, flesh and skin, baked",21.44
"Potatoes, roasted, salt added in processing, frozen, unprepared",26.15
"Potatoes, raw, skin",12.44
"Potatoes, baked, flesh, without salt",21.55
"Potatoes, baked, skin, without salt",46.06
"Potatoes, microwaved, cooked in skin, skin, without salt",29.63
"Potatoes, hash brown, home-prepared",35.11
"Potatoes, mashed, home-prepared, whole milk and margarine added",16.94
"Potatoes, scalloped, home-prepared with butter",10.78
"Potatoes, mashed, dehydrated, granules without milk, dry form",85.51
"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",14.36
"Potatoes, mashed, dehydrated, granules with milk, dry form",77.7
"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",16.13
"Potatoes, hash brown, frozen, plain, unprepared",17.72
"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",28.51
"Potatoes, hash brown, frozen, with butter sauce, unprepared",18.28
"Potatoes, hash brown, frozen, with butter sauce, prepared",24.13
"Potato puffs, frozen, unprepared",24.8
"Potato puffs, frozen, oven-heated",27.29
"Potatoes, frozen, whole, cooked, boiled, drained, without salt",14.52
"Tomatoes, red, ripe, cooked",4.01
"Tomatoes, red, ripe, canned, packed in tomato juice",3.47
"Tomatoes, red, ripe, canned, stewed",6.19
"Tomatoes, red, ripe, canned, with green chilies",3.62
"Tomato products, canned, sauce",5.31
"Tomato products, canned, sauce, with mushrooms",8.43
"Tomato products, canned, sauce, with onions",9.94
"Tomato products, canned, sauce, with herbs and cheese",10.24
"Turnips, cooked, boiled, drained, without salt",5.06
"Turnips, frozen, unprepared",2.94
"Turnips, frozen, cooked, boiled, drained, without salt",4.35
"Turnip greens, raw",7.13
"Turnip greens and turnips, frozen, cooked, boiled, drained, without salt",4.85
"Vegetable juice cocktail, canned",3.87
"Vegetables, mixed, canned, solids and liquids",7.13
"Vegetables, mixed, canned, drained solids",9.26
"Waterchestnuts, chinese, (matai), raw",23.94
"Waterchestnuts, chinese, canned, solids and liquids",12.3
"Watercress, raw",1.29
"Waxgourd, (chinese preserving melon), raw",3
"Winged bean tuber, raw",28.1
"Yam, raw",27.88
"Yam, cooked, boiled, drained, or baked, without salt",27.48
"Yambean (jicama), raw",8.82
"Yambean (jicama), cooked, boiled, drained, without salt",8.82
"Chives, freeze-dried",64.29
"Dock, raw",3.2
"Dock, cooked, boiled, drained, without salt",2.93
"Eppaw, raw",31.68
"Beans, mung, mature seeds, sprouted, canned, drained solids",2.14
